Start time in hr:min:sec,End time in hr:min:sec,Annotation,Layer,Index
0:07:20,0:07:51,"JL: See you were born into a lot of difficulty. Right off the bat.

GA: Yes

JL: A lot. Was there difficulty at home? As well as your own health? Poverty?

GA: Yeah, poverty and

JL: Fighting sickness? What?

GA: Sickness, um, just a lot of difficulty. My father died very early and I always had problems with my uterus, hormones, my period.",LAYER,Body and Health
0:07:51,0:08:51,"JL: Listen, you’re lucky to be here.

GA: Am I?

JL: I mean, you’re here. You’re pretty healthy.

GA: I’ve come close to death a whole lot of times

JL: I know. You’re a strong lady…

GA: This- I broke that and the wrist bone. Two, three years ago.

JL: At this point you are right-handed though, right?

GA: Yes. I do not-I can’t write with my left hand anymore. I can do some heavy things, but mostly the fine things I have to do with my right hand.",LAYER,Body and Health
0:08:51,0:09:23,"JL: Well, you've had plenty of pain in your life, I’ll tell you. But you have plenty of native energy. You have plenty of energy, you have plenty of stamina, and you can take a hell of a lot.

GA: Yes

JL: And I wanna tell you something, you can give a hell of a lot too. You can be a bitch on wheels.

GA: Yes. Well sometimes I think I’m not allowing my intuition and my power, my energy to flow. Like I feel stopped up.",LAYER,Character
0:09:23,0:10:37,"JL: You are. But you’ve been through a lot and that’s the truth. And there’s enormous energy in this hand, I promise you. I mean, enormous energy. There’s enormous energy in this hand, and in your hands. Now this one has a lot more stability. I mean, you survived a lot of stuff. That’s just all there is to it, you really have. [long pause] Up to about your 18th year, things were pretty hairy. And you did get some relief. And when I say 18, I mean 27, and maybe 19 and through--

GA: In between?

JL: Yeah. that period though was [inaudible]. Somehow you managed to get free and live freer than you had been.",LAYER,INDEX
0:10:37,0:11:16,"GA: I started leaving home
JL: At what time?
GA: About 19. I left for a year.
JL: But your plan, you were thinking of it before, weren’t you?
GA: Yes, I’d been planning
JL: And at 19 you left?
GA: I came back a year later but it was like a different world.
JL: Where’d you go to?
GA: I went about 800 miles away. Clear across the state of Texas.
JL: To where?
GA: To a little town named Denton, north of Dallas.
JL: But at least you were near a good place.
GA: Yes, I started going to a university there.",LAYER,"Travel
Scholarship"
0:11:16,0:11:46,"JL: You see, what had happened is you always wanted to leave. 

GA: I always wanted to leave JL: But you couldn’t get away. 

GA: No. 

JL: Finally you did. But you always wanted to. 

GA: Yes, I still want to. I wanna move to the east coast. I’ve been here three years and I’m ready to go.

JL: Where were you before this three years?

GA: Um, I was in Indiana. I was working with the migrant programs in Indiana.",Where was she living during this time?,"Travel
Activism"
0:11:46,0:13:18,"JL: You have enormous amounts of power. Energy. And warmth. Very warm person. A very warm person. A great deal to give. And, uh, I tell you, you don’t show a lot. You try to not show a lot of what you’ve been through and a tremendous amount of pain. But, you’ve got a lot of growth out of it. See part of you is like a fireball. You make your mind up about things real quick. You’re as stubborn as an ox. You move like a tank

GA: [laughs] yeah

JL: On the other hand, you know, there’s a lot inside of you that feels real fragile and wants at all costs not to be hurt.

GA: Yes, but I’m very vulnerable around relationships.

JL: Who is not? I’ll tell you, youre a very powerful lady. And you have enormous will and determination. Enormous. You have enormous will and determination. It’s true. It’s just there. And that I promise you.",LAYER,"Character
Relationships"
0:13:18,0:14:15,"GA: Yeah, I made up my mind I was gonna be a writer and uh, its been very hard. Writing is very hard.

JL: Oh yeah.

GA: I just feel like I have more energy that I’m stopping, you know. That I’m stopping it up. That I’m not using my energy. Cause I feel very frustrated.

JL: Well, maybe you dont hold still long enough and you don’t stay quiet long enough. You’re driven.

GA: Yes.

JL: And I’d like to see you slow down. I’d like to see you talk less. I’d like to see you pause more. For you! I’m not talking in the terms of this.

GA: For me.

JL: That will give you a chance to un-dam. See, you ride yourself like you're a horse.

GA: Yeah, yeah.",LAYER,"Character
Writing"
0:14:15,0:15:30,"JL: And it won’t take you as fast as other things will. [long pause] I tell you this much, you probably have pretty much a [inaudible] as though it all sort of fell out of the sky. Or you made a lot of mistakes. A lot of wrong moves. I think a lot of it was in the books.

GA: I had lessons to learn.

JL: A lot of it is in the books, really. Essentially, you’re a hedonist. Very strong passions. And very strong needs.",LAYER,Character
0:15:30,0:17:07,"GA: You don’t think I could also be like a nun type? Ascetic? Some people think I’m too nun-like.

JL: I don’t think you’re nun-like at all. Even if you haven’t screwed in 28 years. I don’t think youre nun-like at all. You know, I’m not talking about whether you’re Black or not, or whether you’re celibate or not. I’m talking about an attitude toward life, and how you feel, and how you think isn’t necessarily what people are seeing.

GA: Right

JL: Cause you hide a lot.

GA: I hide a lot.

JL: And I think that your needs are not of the nun-ly sort, if you want me to be honest with you.

GA: I’ve always felt a little bit like that, but its sort of like egotistic to think that I think for me. But hearing somebody else say it…

JL: Why is that egotistical? I mean, you can be very giving, and give yourself to a cause, and have passions that are very strong. Because you do have them. You decide to let them out in a socially militant way, rather than a sexual way, that’s your need, or your choice, or your defense or whichever way you choose to look at that. This hand is full of animal energy, and I think would like a great deal of sensation out of that.

GA: Yes",LAYER,"Character
Sexuality"
0:17:07,0:17:34,"JL: Whether you get it or not is another thing. Whether you avail yourself of it-excuse me- or not is another thing. You’re a very bright woman. Did you know?

GA: No [laughs]

JL: You have plenty of good intelligence. And its important for you to develop it.

GA: The intelligence?",LAYER,Intelligence
0:17:34,0:19:39,"JL: mmhmm, yes. [long pause] Turn your hands up this way for me? [long pause] Have you ever been deeply in love?

GA: In love? I think once.

JL: Did the person know it?

GA: Yes.

JL: Did anything come of it?

GA: No.

JL: The person wasn’t interested?

GA: Scared.

JL: So, this fell to the wayside?

GA: No, we’re friends. It’s hard on me though. It’s very hard.

JL: How long ago was it?

GA: It’s been about, um, six years?

JL: So you were about 31?

GA: Yes. Sometimes I’m not sure what love is. I don’t think–sometimes I think I’m not-I’ve never been in love. I mean I know what love is, but I don’t know what “in love” is. Do you know what I mean?

JL: So the person was not in love with you?

GA: I think he is, but he is a gay man, and he has a gay lover.

JL: You don’t need that

GA: I don’t need that. And I think we both feel that way about each other, but it’s not the right situation.

JL: No, I mean, if he’s a gay man, he’s going to want to make love to a man, instead of a woman, don’t you think?

GA: Oh, yeah.","This is Randy who appears on the Sally Gearhart recording. Was it at this point that Anzaldua was still identifying as a lesbian as a political stance? Had she come out yet? In Maylei's piece, Anzaldua says she didn't come out until San Francisco, but I'm not sure when exactly she moved moved.",Relationships
0:19:39,0:20:09,"JL: Did you know that you can love women very much too, also? Very strongly?

GA: yeah mmhmm. I consider myself a lesbian

JL: Do you?

GA: Mmhmm. But I love all kinds of people.

JL: Mmhmm. Have you had relationships with women?

GA: No

JL: [inaudible]

GA: The last one I had was two years ago. It’ll be two years ago in January. He was a man.

JL: You’ve never had a relationship with a woman?

GA: No",LAYER,"Lesbianism
Relationships
Sexuality"
0:20:09,0:21:47,"JL: Why do you consider yourself a lesbian?

GA: Because, um, I don’t define a lesbian just as somebody who makes love to a woman. I define lesbian as a woman who loves women. And I have felt attractions towards two women, but they were, one was also scared off, and the other was–already had a lover.

JL: Did they know how you felt?

GA: The first one did. The second one I never said anything to her, but I think she guessed, cause we still are very loving to each other.

JL: Are you frightened at, uh…Are you frightened to ask for a relationship?

GA: Yes. I think I am. Well I think that I am. I think as soon as I say I am frightened that the opposite is also true that I’m not. I’m just very picky. I’m very particular. And I just think that I’m waiting, or I’m [inaudible]. That I have certain ideals? That are very hard to meet? And, uh

JL: You need a lot of love. And you need a lot of warmth. And everyone does, and you in particular. You also need outlets for your energy. That is just extremely important that you work with people in a loving way. And in a worthy way. But you do that dont you?",LAYER,"Lesbianism
Relationships"
0:21:47,0:22:49,"GA: I teach.

JL: I was gonna get to that. Lift your hands up again please. See you work with words?

GA: I teach writing, meditation…anything that has to do with writing. That facilitates getting deeper within.

JL: It’s strong in your hands, I’ll tell ya. It’s a good thing for you to be doing.

GA: Words are strong in my hands?

JL: Communications. Very strong. Very strong. Any interest in the sciences or in purely communication?

GA: No, I love the sciences. I love to read about biophysics

JL: That whole Mercury constellation is so strong in your hand. And, uh

GA: I wanted to be a doctor.

JL: Yeah, I see you have a condusis–that’s real strong in you and you you should be working with people.","Where was Anzaldua teaching at this time? SFSU? Discuss the other roles she had as a teacher in the university system, but in other spaces as well.

Discuss the role of Mercury in palmistry/astrology. Need to find a good astrology reference.","Teaching
Writing
Meditation
Astrology
Healing"
0:22:49,0:23:51,"GA: You think I should be working with healing?

JL: Yes

GA: Types of healing?

JL: Types of healing, and that could be through communication. That could be through loving. That can be through nursing. It could be through caring in some way. Social work. You know all kinds of manifestations could that take. Where do you teach here?

GA: I teach journal writing at State. San Francisco State. And I teach, uh--

JL: What's your last name?

GA: Creative writing worksh--Anzaldua.

JL: Ah-zal-du-ah?

GA: Anzaldua

JL: Anzaldua

GA: I teach creative writing.

JL: What’s “anzal” mean?

GA: It’s a basque word. The Basque provinces.

JL: Is “dua” from “two”?

GA: An-zal-dua…No, I think that the Basques have an entirely different language in the Indo-European-

JL: You are Basque?

GA: My ancestors. Basque and Spanish and Mayan and Aztec…

JL: Whatever?

GA: All–I’m a mongrel.",Anzaldua discusses healing in the Arriba article.,"Healing
Teaching
Writing"
0:23:51,0:25:16,"JL: So you teach at State?

GA: Journal writing. In the Feminist, uh, Women’s studies.

JL: Do you have–how many degrees do you have? Do you have a degree?

GA: mmhmm Two? I almost have my PhD. But I didn’t stay for the–I didn’t finish my dissertation.

JL: I told you you were intelligent. You didn’t seem to know it. Don’t you think that’s strange?

GA: No, well a lot of people have phds and theyre not that intelligent.

JL: But you are. You have fierce determination. That you know, don’t you?

GA: Yes. I have a vision.

JL: Are you very close to the feminist movement? At state?

GA: No. I’ve laways been sort of a…I don’t know what the word is–I don’t ever follow any kind of doctrine. But I have my own philosophy and my own religion.

JL: Believe me, you’ve had plenty of protection in your life.

GA: From whom?

JL: Just from whatever. [inaudible] You’ve just been protected. I’m telling you.

GA: mmhmm","Anzaldua left UT All but Dissertation. She was only awarded her Ph.D. after her death from UC Santa Cruz??

Here, I want to consider the impetus for This Bridge Called My Back. Add This Bridge to bibliography.

Anzaldua was active in the Chicano and Feminist movements while in Austin, at least. In Maylei's piece, she discusses tecahing at UT and inviting Martha to speak. [link to her notes from Martha's presentation. See Brenda Sendejo's chapter in Chicana Movidas as well [in notes].  Link to Martha's finding aid as well. Possibly ask Martha what she remembers about that time. Not sure they were very close, if at all.","Teaching
Writing
Scholarship
Intelligence
Character
Activism"
0:25:16,0:26:47,"JL: And in very difficult times round your 24th, 25th, 26th year. What was going on between 24 and 26 or 23 and 26?

GA: I had finished school and I started teaching and I had several romantic involvements and uh...

JL: Did they come to anything?

GA: No they didn’t come to anything

JL: Were they one-sided?

GA: Yeah. Not-there wasn’t any interest on my part beyond, you know, beyond sexual intimacy.

JL: Did they want it?

GA: Yeah.

JL: Did you have sexual intimacy?

GA: mmhmm Yes.

JL: I though you said you didn’t have any–you didn’t–no you said you weren’t in love. But you have had quite a few sexual encounters?

GA: No, not quite a few. About 3 that were relatively, well at least longer than 6 months, and then one that didn’t last but a few months.

JL: I think your needs are quite great in that direction. You should try to have fun.

GA: I’m probably starved [laughs]",Anzaldua mentioned being cut off from her body and sexuality due to her hormonal illness in childhood.,"Scholarship
Teaching
Relationships
Sexuality"
0:26:47,0:29:22,"JL: Well…yeah. I really feel you’ve tried to guard yourself, but at the same time not to be so afraid that you don’t allow people to see how you feel. Because like everybody, of course you don’t want to be hurt. Essentially, from about your 24th through your 28th year, you were sort of on a path, a particular path, and at about 28 or 29, around that time, there was a slight divergence and you started threading along another path. Which was [inaudible].

GA: [inaudible]?

JL: Well close to. Not totally different, but it was in the same path. It did take a shift.

GA: A detour.

JL: Yeah

GA: And now I’m back on the original?

JL: Yeah--well wait a minute.

GA: Okay. [laughs] Sorry.

JL: [inaudible] and you're–on that same path now, that youve been on since that revision since you were 28, 29, 27, whenever that was. And that’s gonna carry you through about until you’re 46th year. Give or take a year. When you will be moving in three paths, like a prong.

GA: Wow [laughs]. Is that possible to do?

JL: Why not? There are gonna be three possibilities there. In other words, what I’m saying to you, in your 46th year or so, give or take a year, there will be another either career or moral, or interior decision where you’re going to have to revise and revamp again. And where you will.

GA: Those are always painful.

JL: Well, they’re always interesting too aren’t they?

GA: Yes

JL: Um, I think that you’ve got a lot of power in that hand, and a lot of ability to love and a lot of needs. I don’t think you’re made like a nun at all. I want you to know that. I think that other people decide, but don’t let them decide for you. Don't let them look at you and decide you should be a nun. You look at you and decide what you want to be.

GA: Yes.",LAYER,"Relationships
Character
Futurity
Sexuality
Self-Definition"
0:29:25,0:31:36,"JL: Any questions you want to ask me?

GA: I wanna ask you about my Jupiter finger.

JL: Alright

GA: People think it's very abnormal [laughs]

JL: Well I think that's due to the endocrine malfunction. Unless do other people have these kind of configurations or is it just you?

GA: I think there's a slight resemblance in one of my brothers because his palm is [inaudible] but mine is like very ag--very, um

Joyce and Gloria discuss medical conditions that influence the shape of her hand such as arthritis or rheumatism. Joyce suggests it is most likely an endocrine or hormonal imbalance at play, reminding Gloria she's been well-protected. Joyce tells Gloria her pride has caused her to have pent-up anger; Gloria agrees. Joyce recommends finding many outlets to release excess anger and to stay healthy. She reminds Gloria to meet her own needs, rather than to satisfy the expectations of others.",Discuss the significance of the Jupiter Finger. Need a good source for palmistry. Look back on notes from the Fall.,"Jupiter
Palmistry
Body and Health
Family
Intelligence
Palmistry
Self-Definition"
0:31:37,0:32:53,"JL: Has this been of value to you?

GA: This has been a very good reading.

JL: Have you had any palm readings before?

GA: Um I had a woman named Elena who goes around town doing it. But very--just like five minute things. But I've always been interested in palms. I want to take a workshop.

JL: Do!

GA: I'm also very interested in tarot, in I Ching...

JL: Well you just generally have a lot of interest in the occult. And pursue your interests, because you have a tremendous amount of intelligence and...energy. And it should be used.

GA: Okay

JL: I hope I have given you something to work with and you have somehting you came for.

GA: Yes

JL: Your direction is deifnitely with people and with things and with serving.

GA: My destiny is the lovers (?) Number 6 (?)

JL: And, uh, don't let other people determine for you what your needs are.

GA: Alright, thank you.

JL: Do I have your card?

GA: Yes. It's right there.

JL: Thank you.

[Recording Stops]","I belive this is the woman mentioned in either the recording with Chela or Cherrie.

[Link to relevant materials]","Palmistry
Tarot
I Ching
Intelligence
Occult"
0:32:56,0:46:38,"The rest of this side of the tape is what sounds like Peruvian flute songs. Possibly a recording of an album, rather than a live performance.","[Link to original tape. It lists the music, which continues on Side B]",INDEX
